applicant_id,first_name,last_name,email,phone,age,city,employment_status,annual_income,acquisition_channel,registration_date
20,Rebecca,Baker,rebecca.baker255@gmail.com,0781979055,27,London,employed,24880,paid_search,2023-08-05 05:17:00
21,Patrick,Gonzalez,patrick.gonzalez668@yahoo.com,0711980765,24,Johannesburg,employed,43016,direct,2023-05-02 05:26:00
22,Linda,Perez,linda.perez3@yahoo.com,0745594951,45,Chicago,self_employed,110748,email_campaign,2023-08-21 09:27:00
23,Adam,Murphy,adam.murphy195@gmail.com,0717849494,30,Houston,employed,21572,referral,2023-10-05 01:47:00
24,Amy,Cooper,amy.cooper162@gmail.com,0778159587,54,Johannesburg,employed,45828,organic_search,2023-04-06 02:38:00
25,Sarah,Ramirez,sarah.ramirez593@yahoo.com,0793131979,36,Malindi,employed,49179,organic_search,2023-12-03 18:36:00
26,Debra,Green,debra.green272@gmail.com,0796637649,36,Nakuru,employed,88792,paid_search,2023-06-11 02:00:00
27,Barbara,Ward,barbara.ward519@gmail.com,0756843172,34,Abuja,employed,86200,email_campaign,2023-05-06 11:18:00
28,Tyler,Henderson,tyler.henderson9@yahoo.com,0784437458,54,Nakuru,employed,30129,paid_search,2023-12-06 03:56:00
29,Maria,Peterson,maria.peterson279@gmail.com,0738270233,30,Manchester,student,8280,social_media,2023-04-15 21:40:00
30,Jason,Miller,jason.miller650@gmail.com,0747135391,26,London,retired,36178,organic_search,2023-06-20 04:40:00
31,Patrick,Stewart,patrick.stewart10@gmail.com,0730005727,56,Mombasa,employed,31704,referral,2023-07-09 18:35:00
32,Michelle,Campbell,michelle.campbell921@gmail.com,0743491314,23,Eldoret,student,10168,referral,2023-07-01 17:56:00
33,Timothy,Lee,timothy.lee903@gmail.com,0734073380,32,Kitale,self_employed,111345,social_media,2023-06-20 13:51:00
34,Jeffrey,Lee,jeffrey.lee111@gmail.com,0715197528,65,Abuja,student,5728,email_campaign,2023-04-24 06:52:00
35,Ashley,Lewis,ashley.lewis676@gmail.com,0754058573,22,Chicago,self_employed,67386,organic_search,2023-02-05 08:22:00
36,Nicholas,Brown,nicholas.brown899@yahoo.com,0733966966,28,Accra,self_employed,60309,referral,2023-05-16 01:06:00
37,Laura,Sanders,laura.sanders119@gmail.com,0787388337,53,Malindi,employed,85575,organic_search,2023-01-23 22:27:00
38,Jonathan,Sanchez,jonathan.sanchez972@yahoo.com,0754318698,25,Abuja,student,8308,referral,2023-12-06 03:46:00
39,Debra,Evans,debra.evans413@yahoo.com,0784411983,41,Phoenix,self_employed,37810,organic_search,2023-08-04 21:24:00
40,Jack,Hill,jack.hill562@yahoo.com,0750785405,46,London,self_employed,75946,paid_search,2023-08-09 18:38:00
41,Brandon,Perry,brandon.perry524@gmail.com,0732775593,34,Kisumu,self_employed,58933,referral,2023-05-26 16:42:00
42,Timothy,Perry,timothy.perry231@yahoo.com,0729777514,40,London,student,1193,organic_search,2023-05-06 15:39:00
43,Sharon,Wood,sharon.wood200@yahoo.com,0761536717,57,Nakuru,self_employed,113430,paid_search,2023-05-05 04:41:00
44,Scott,Lewis,scott.lewis824@yahoo.com,0779519112,32,Eldoret,student,7478,paid_search,2023-10-13 07:58:00
45,Kathleen,Jenkins,kathleen.jenkins573@yahoo.com,0769401199,54,Thika,student,7305,referral,2023-09-16 13:53:00
46,Maria,Morgan,maria.morgan266@yahoo.com,0795585469,49,Kisumu,employed,72654,organic_search,2023-09-24 15:40:00
47,Janet,Torres,janet.torres279@gmail.com,0782498004,36,Malindi,self_employed,107591,organic_search,2023-03-19 07:24:00
48,William,Collins,william.collins339@yahoo.com,0765804273,47,Nairobi,unemployed,11395,organic_search,2023-08-04 12:57:00
49,Emma,Carter,emma.carter7@yahoo.com,0750079111,51,Phoenix,self_employed,119840,social_media,2023-08-03 17:47:00
50,Ronald,Murphy,ronald.murphy280@gmail.com,0713895645,35,London,employed,36632,paid_search,2023-12-09 21:51:00
51,Thomas,Bennett,thomas.bennett28@yahoo.com,0789442503,55,Thika,employed,75515,referral,2023-01-14 02:41:00
52,Michael,King,michael.king336@gmail.com,0753868501,45,Lagos,retired,70255,paid_search,2023-07-14 08:48:00
53,David,Morgan,david.morgan768@yahoo.com,0756970882,22,Malindi,unemployed,4051,organic_search,2023-02-05 20:02:00
54,John,Bennett,john.bennett245@gmail.com,0799853245,30,Thika,employed,63351,organic_search,2023-04-22 14:44:00
55,Helen,Sanders,helen.sanders797@yahoo.com,0751746937,28,Johannesburg,self_employed,64192,organic_search,2023-01-14 09:36:00
56,Janet,Sanchez,janet.sanchez607@yahoo.com,0794187049,25,Houston,self_employed,30866,organic_search,2023-12-23 09:54:00
57,Jennifer,Hall,jennifer.hall439@yahoo.com,0719255216,55,Nakuru,employed,79251,referral,2023-06-24 00:54:00
58,Laura,Campbell,laura.campbell913@yahoo.com,0730534124,61,Manchester,self_employed,85539,paid_search,2023-09-25 20:17:00
59,Kathleen,Sanchez,kathleen.sanchez275@gmail.com,0742949803,58,London,employed,113366,email_campaign,2023-02-14 08:56:00
60,Jack,Price,jack.price389@gmail.com,0776344695,63,Accra,employed,48862,email_campaign,2023-04-04 15:13:00
61,Emily,Kelly,emily.kelly902@gmail.com,0711362459,65,Chicago,self_employed,79038,referral,2023-04-08 02:15:00
62,Timothy,Long,timothy.long662@yahoo.com,0770152969,51,Abuja,employed,46890,social_media,2023-02-17 09:14:00
63,Adam,Watson,adam.watson485@yahoo.com,0756138336,44,Abuja,self_employed,50509,paid_search,2023-10-09 10:22:00
64,Jason,Robinson,jason.robinson739@gmail.com,0726046365,28,Lagos,employed,78464,social_media,2023-12-20 05:12:00
65,Zachary,Brooks,zachary.brooks612@gmail.com,0723492385,54,Chicago,employed,16854,email_campaign,2023-06-01 07:23:00
66,Thomas,Scott,thomas.scott998@gmail.com,0749209916,23,Nairobi,unemployed,1680,social_media,2023-03-06 20:55:00
67,Emma,Torres,emma.torres491@gmail.com,0734744872,51,Manchester,unemployed,6565,direct,2023-05-10 15:07:00
68,Barbara,James,barbara.james703@gmail.com,0730024960,61,Cape Town,employed,115197,social_media,2023-06-05 02:15:00
69,Helen,Kelly,helen.kelly232@yahoo.com,0761053474,60,Abuja,self_employed,71207,paid_search,2023-08-15 09:55:00
70,Jack,Bennett,jack.bennett625@yahoo.com,0723318904,24,Thika,employed,25641,direct,2023-04-17 20:13:00
71,Timothy,Thompson,timothy.thompson77@gmail.com,0764830300,56,Abuja,employed,52762,paid_search,2023-11-01 15:18:00
72,Carolyn,Reed,carolyn.reed704@gmail.com,0745507920,25,Cape Town,unemployed,3241,social_media,2023-11-17 18:42:00
73,Joseph,Torres,joseph.torres664@gmail.com,0745652586,35,Houston,unemployed,9749,social_media,2023-02-06 01:10:00
74,Ryan,Morris,ryan.morris480@yahoo.com,0764023778,28,Mombasa,employed,93385,direct,2023-09-14 17:31:00
75,Laura,Adams,laura.adams257@gmail.com,0740725714,59,Lagos,retired,103117,direct,2023-10-22 18:01:00
76,Emma,Garcia,emma.garcia482@yahoo.com,0769355025,32,Kisumu,self_employed,79451,email_campaign,2023-04-03 18:27:00
77,Samuel,Hall,samuel.hall342@gmail.com,0724039158,47,Johannesburg,employed,101846,email_campaign,2023-06-18 13:44:00
78,Patrick,Jones,patrick.jones91@gmail.com,0753389073,50,Chicago,retired,101200,organic_search,2023-07-26 16:52:00
79,Kathleen,Evans,kathleen.evans193@yahoo.com,0793568503,24,Chicago,employed,50003,social_media,2023-11-17 14:48:00
80,Thomas,Torres,thomas.torres902@yahoo.com,0726297533,49,Abuja,employed,35758,organic_search,2023-11-19 19:51:00
81,Patrick,Johnson,patrick.johnson418@gmail.com,0725228493,56,Abuja,employed,108926,paid_search,2023-03-02 20:53:00
82,Shirley,Wright,shirley.wright855@gmail.com,0773380266,47,New York,employed,93561,organic_search,2023-10-10 04:24:00
83,Maria,Moore,maria.moore283@yahoo.com,0765692629,25,Abuja,employed,110164,paid_search,2023-09-17 08:52:00
84,Nicole,Watson,nicole.watson502@yahoo.com,0769934576,63,London,unemployed,6180,referral,2023-06-26 10:35:00
85,Carol,Harris,carol.harris245@yahoo.com,0741348220,65,Johannesburg,self_employed,107435,email_campaign,2023-07-30 01:20:00
86,Stephanie,Coleman,stephanie.coleman156@gmail.com,0714968688,62,Nakuru,employed,72711,organic_search,2023-10-30 10:55:00
87,Anna,Reed,anna.reed740@gmail.com,0797883261,21,Phoenix,retired,59375,direct,2023-02-08 15:50:00
88,Nathan,Turner,nathan.turner83@yahoo.com,0781621574,62,Chicago,student,7994,paid_search,2023-06-12 20:45:00
89,Robert,Bennett,robert.bennett241@yahoo.com,0748571356,25,Nakuru,unemployed,11532,direct,2023-02-16 13:06:00
90,Brandon,Perez,brandon.perez307@yahoo.com,0716172803,65,Kitale,employed,34080,paid_search,2023-01-29 09:22:00
91,Anna,Evans,anna.evans699@yahoo.com,0732814819,57,Houston,self_employed,80230,organic_search,2023-11-09 12:39:00
92,Charles,Robinson,charles.robinson654@gmail.com,0744269370,50,London,employed,24681,referral,2023-08-27 09:43:00
93,Eric,Brooks,eric.brooks655@yahoo.com,0743567615,40,Kitale,student,1747,paid_search,2023-06-04 06:24:00
94,Stephen,James,stephen.james589@gmail.com,0749625201,43,Mombasa,employed,104889,organic_search,2023-12-04 12:17:00
95,Helen,Bailey,helen.bailey795@yahoo.com,0791478884,39,Eldoret,self_employed,103835,social_media,2023-04-23 20:12:00
96,Aaron,Gonzalez,aaron.gonzalez662@gmail.com,0769166287,61,Accra,employed,53680,organic_search,2023-07-06 23:08:00
97,Maria,Collins,maria.collins206@gmail.com,0782398083,32,Thika,student,13606,email_campaign,2023-07-07 16:32:00
98,Jason,Bell,jason.bell765@yahoo.com,0725457816,39,Johannesburg,retired,103647,paid_search,2023-02-08 04:48:00
99,Pamela,Campbell,pamela.campbell810@gmail.com,0745495029,26,Houston,self_employed,49362,referral,2023-08-21 11:43:00
100,Stephen,Barnes,stephen.barnes111@yahoo.com,0773280554,44,Kisumu,self_employed,99889,organic_search,2023-10-15 10:58:00
101,Katherine,Cook,katherine.cook310@yahoo.com,0725659979,65,Chicago,employed,45775,organic_search,2023-01-20 09:31:00
102,Karen,Roberts,karen.roberts380@yahoo.com,0782503409,50,Phoenix,employed,79139,paid_search,2023-03-21 13:41:00
103,Justin,Scott,justin.scott707@gmail.com,0769509870,23,Chicago,retired,63147,paid_search,2023-05-01 11:06:00
104,Jose,Rivera,jose.rivera408@gmail.com,0726395999,24,Phoenix,employed,98819,direct,2023-08-21 02:42:00
105,John,Miller,john.miller250@yahoo.com,0785776373,42,Accra,employed,45539,organic_search,2023-10-11 06:37:00
106,Charles,Kelly,charles.kelly284@yahoo.com,0729419691,21,Nairobi,employed,101646,direct,2023-10-04 08:51:00
107,Thomas,Johnson,thomas.johnson809@yahoo.com,0789034501,43,New York,employed,70176,paid_search,2023-03-31 08:03:00
108,Joseph,Rodriguez,joseph.rodriguez460@yahoo.com,0778885632,51,New York,retired,20683,referral,2023-08-20 16:14:00
109,Jacob,Reed,jacob.reed988@gmail.com,0774287863,62,Kisumu,employed,73138,email_campaign,2023-08-07 21:06:00
110,David,Adams,david.adams152@gmail.com,0746912022,59,New York,employed,93301,referral,2023-10-27 17:45:00
111,Donna,Reed,donna.reed620@gmail.com,0725356396,53,London,student,7046,email_campaign,2023-11-30 17:46:00
112,Ashley,Evans,ashley.evans848@gmail.com,0765833185,42,Eldoret,self_employed,64060,social_media,2023-06-10 13:20:00
113,Rachel,Morgan,rachel.morgan94@yahoo.com,0722513132,25,Chicago,employed,88608,paid_search,2023-07-10 04:35:00
114,Nicholas,Jenkins,nicholas.jenkins421@gmail.com,0799300492,28,Abuja,retired,93696,direct,2023-08-05 23:03:00
115,Melissa,Wilson,melissa.wilson520@gmail.com,0798145654,57,Lagos,self_employed,30058,paid_search,2023-02-25 11:54:00
116,Emma,Lewis,emma.lewis866@yahoo.com,0793446356,48,Lagos,self_employed,101223,referral,2023-11-26 17:01:00
117,Patricia,White,patricia.white720@yahoo.com,0755610493,38,Eldoret,self_employed,24120,paid_search,2023-04-03 04:36:00
118,Peter,Barnes,peter.barnes94@yahoo.com,0738874646,22,Accra,employed,109581,paid_search,2023-08-21 10:10:00
119,Jack,Kelly,jack.kelly905@gmail.com,0731127198,26,Cape Town,employed,101761,social_media,2023-01-26 21:05:00
120,Raymond,Sanders,raymond.sanders425@gmail.com,0778765957,49,Manchester,self_employed,92743,organic_search,2023-08-09 03:18:00
121,Anna,Jenkins,anna.jenkins47@gmail.com,0790440034,40,Lagos,unemployed,12520,organic_search,2023-04-15 09:13:00
122,Donna,Adams,donna.adams8@gmail.com,0767801537,28,Cairo,employed,88233,organic_search,2023-07-14 17:45:00
123,Barbara,Turner,barbara.turner447@gmail.com,0720450542,23,Cape Town,employed,98904,email_campaign,2023-10-22 13:36:00
124,Donna,Anderson,donna.anderson22@yahoo.com,0733068427,46,Kisumu,self_employed,62428,social_media,2023-11-13 14:53:00
125,Laura,Wilson,laura.wilson447@yahoo.com,0780325062,36,Thika,employed,117120,organic_search,2023-06-08 23:21:00
126,Barbara,Richardson,barbara.richardson117@yahoo.com,0736025314,61,Eldoret,retired,99599,email_campaign,2023-06-28 11:46:00
127,Timothy,Wilson,timothy.wilson263@gmail.com,0790852623,30,Manchester,retired,97306,organic_search,2023-12-02 02:11:00
128,Kathleen,Ramirez,kathleen.ramirez460@yahoo.com,0785764804,58,Eldoret,retired,56436,referral,2023-11-16 10:55:00
129,Brandon,Rodriguez,brandon.rodriguez453@yahoo.com,0746866075,51,Mombasa,employed,74233,referral,2023-06-30 16:04:00
130,Linda,Mitchell,linda.mitchell79@yahoo.com,0722119391,39,Mombasa,self_employed,118785,referral,2023-09-17 12:29:00
131,Cynthia,James,cynthia.james193@gmail.com,0773837847,62,Accra,unemployed,13719,referral,2023-02-01 14:06:00
132,Janet,Hernandez,janet.hernandez662@gmail.com,0743251599,53,Cairo,self_employed,62696,social_media,2023-08-13 16:33:00
133,Ryan,Roberts,ryan.roberts794@gmail.com,0790246882,47,Chicago,employed,27387,organic_search,2023-11-20 20:21:00
134,Henry,Roberts,henry.roberts259@yahoo.com,0798122539,39,Eldoret,employed,101980,direct,2023-11-05 04:21:00
135,Eric,Flores,eric.flores716@yahoo.com,0727307598,62,Accra,employed,118764,referral,2023-02-13 09:35:00
136,Thomas,Jenkins,thomas.jenkins849@yahoo.com,0780651318,65,Abuja,employed,62526,organic_search,2023-12-10 13:32:00
137,Betty,Ramirez,betty.ramirez971@yahoo.com,0735770506,42,Nakuru,employed,118300,organic_search,2023-03-12 04:04:00
138,Gregory,Torres,gregory.torres39@yahoo.com,0792950779,54,Phoenix,employed,105812,organic_search,2023-07-12 04:10:00
139,Nancy,Morris,nancy.morris421@gmail.com,0741880763,23,Kitale,self_employed,73841,direct,2023-11-09 09:48:00
140,Alexander,Walker,alexander.walker989@yahoo.com,0772950208,40,London,retired,72749,email_campaign,2023-04-10 11:43:00
141,Ryan,Carter,ryan.carter541@gmail.com,0731751079,53,Manchester,employed,99040,social_media,2023-11-06 04:55:00
142,Deborah,Peterson,deborah.peterson729@yahoo.com,0726733967,27,Cape Town,student,2414,paid_search,2023-03-24 08:28:00
143,Susan,Lewis,susan.lewis906@gmail.com,0713579612,49,Cairo,employed,25696,paid_search,2023-07-22 16:23:00
144,Ronald,Brown,ronald.brown954@gmail.com,0797236246,41,Eldoret,employed,76925,paid_search,2023-03-16 04:02:00
145,Douglas,Morgan,douglas.morgan631@gmail.com,0720633503,49,New York,retired,94807,organic_search,2023-04-21 04:35:00
146,Scott,Anderson,scott.anderson244@gmail.com,0716408822,39,Phoenix,employed,80513,organic_search,2023-11-24 19:29:00
147,Alexander,Williams,alexander.williams528@yahoo.com,0729270557,61,Thika,employed,69600,paid_search,2023-01-01 19:22:00
148,Debra,Jenkins,debra.jenkins537@yahoo.com,0719083764,26,Nairobi,retired,87633,direct,2023-10-06 16:50:00
149,Stephanie,Morgan,stephanie.morgan651@gmail.com,0760103798,23,Nakuru,employed,46604,organic_search,2023-01-09 11:50:00
150,Dennis,Nelson,dennis.nelson46@gmail.com,0755439043,29,Thika,retired,77722,social_media,2023-03-31 21:29:00
151,Karen,Rodriguez,karen.rodriguez38@gmail.com,0715879578,50,Chicago,employed,67196,social_media,2023-01-22 10:59:00
152,Samuel,Allen,samuel.allen772@yahoo.com,0748401154,23,Cairo,employed,119771,paid_search,2023-01-25 20:21:00
153,Laura,Phillips,laura.phillips917@yahoo.com,0755504725,49,New York,employed,119502,direct,2023-09-12 22:31:00
154,Jeffrey,Hernandez,jeffrey.hernandez81@gmail.com,0734220459,48,Abuja,employed,53750,referral,2023-06-14 03:05:00
155,Cynthia,Sanders,cynthia.sanders171@yahoo.com,0757183837,48,Mombasa,employed,118740,paid_search,2023-06-30 19:27:00
156,Barbara,Jenkins,barbara.jenkins416@gmail.com,0731473054,61,Eldoret,unemployed,570,direct,2023-03-15 19:43:00
157,William,Walker,william.walker376@gmail.com,0786134287,62,London,retired,63760,organic_search,2023-03-20 21:28:00
158,Barbara,James,barbara.james543@gmail.com,0752196099,29,New York,self_employed,80410,referral,2023-05-08 03:01:00
159,Stephanie,Gray,stephanie.gray269@yahoo.com,0769897763,28,Malindi,student,8047,organic_search,2023-11-10 09:44:00
160,Sarah,Moore,sarah.moore463@gmail.com,0769741812,25,Chicago,employed,23511,direct,2023-12-16 10:42:00
161,Brenda,Nguyen,brenda.nguyen872@gmail.com,0795590648,40,Eldoret,employed,41342,organic_search,2023-07-05 16:14:00
162,Timothy,Bailey,timothy.bailey370@yahoo.com,0759514418,22,Abuja,student,1077,paid_search,2023-10-10 04:39:00
163,Larry,Bell,larry.bell421@yahoo.com,0787161840,54,New York,employed,104143,organic_search,2023-06-12 20:04:00
164,Eric,Taylor,eric.taylor656@yahoo.com,0727318510,56,Thika,employed,36581,paid_search,2023-01-29 03:33:00
165,Carol,Lewis,carol.lewis971@yahoo.com,0748124318,43,Eldoret,retired,50972,email_campaign,2023-05-09 06:40:00
166,Aaron,Hill,aaron.hill547@gmail.com,0796031876,60,Phoenix,self_employed,109454,organic_search,2023-10-25 04:10:00
167,Amanda,Ramirez,amanda.ramirez846@yahoo.com,0720901547,23,Houston,self_employed,115526,organic_search,2023-11-25 18:16:00
168,Sharon,Bennett,sharon.bennett32@gmail.com,0794176528,61,Johannesburg,employed,104783,referral,2023-11-25 09:30:00
169,Jacob,Reed,jacob.reed706@gmail.com,0769002851,25,Accra,self_employed,55970,paid_search,2023-08-26 06:21:00
170,Catherine,Hall,catherine.hall134@yahoo.com,0779119463,46,Kitale,employed,73929,referral,2023-06-13 07:29:00
171,Charles,Gonzalez,charles.gonzalez298@yahoo.com,0792594562,24,Malindi,self_employed,55988,paid_search,2023-03-23 10:59:00
172,Kevin,Bailey,kevin.bailey479@gmail.com,0751411602,53,Malindi,employed,46552,paid_search,2023-02-16 12:32:00
173,Dennis,Rivera,dennis.rivera52@gmail.com,0790197611,24,Nakuru,employed,16071,email_campaign,2023-12-01 21:30:00
174,Laura,Moore,laura.moore745@gmail.com,0764123845,37,Chicago,self_employed,62516,paid_search,2023-07-25 01:36:00
175,Ryan,Martinez,ryan.martinez517@gmail.com,0783800569,45,Johannesburg,employed,27672,organic_search,2023-11-16 21:39:00
176,Deborah,Baker,deborah.baker962@gmail.com,0729363237,56,Eldoret,employed,20100,organic_search,2023-09-18 12:32:00
177,Janet,Nelson,janet.nelson532@gmail.com,0791370909,51,Johannesburg,self_employed,36299,email_campaign,2023-03-13 10:59:00
178,Tyler,Hill,tyler.hill345@yahoo.com,0778412668,58,Cairo,employed,17180,referral,2023-12-29 18:19:00
179,Nicholas,Perry,nicholas.perry427@yahoo.com,0794457912,28,Houston,unemployed,12716,organic_search,2023-08-31 08:41:00
180,Emma,Robinson,emma.robinson598@gmail.com,0780361272,24,Mombasa,unemployed,3968,referral,2023-11-14 12:09:00
181,Emma,Anderson,emma.anderson20@gmail.com,0766207740,33,Manchester,employed,95147,organic_search,2023-12-20 06:26:00
182,Peter,Davis,peter.davis532@gmail.com,0753627409,29,London,employed,37699,direct,2023-09-02 16:24:00
183,Alexander,Baker,alexander.baker363@yahoo.com,0796343485,55,Lagos,employed,47311,social_media,2023-05-16 19:30:00
184,Pamela,Hill,pamela.hill965@yahoo.com,0749945150,35,Manchester,self_employed,56555,social_media,2023-12-27 06:44:00
185,Eric,Gray,eric.gray295@gmail.com,0782905845,38,Mombasa,unemployed,4758,paid_search,2023-07-22 11:49:00
186,Ryan,Hernandez,ryan.hernandez947@gmail.com,0744419327,43,Lagos,employed,88664,social_media,2023-04-20 06:52:00
187,Karen,Wilson,karen.wilson759@yahoo.com,0742542167,60,Cape Town,employed,28133,organic_search,2023-09-29 07:40:00
188,Nicholas,Morgan,nicholas.morgan698@yahoo.com,0710695441,27,Manchester,retired,77350,direct,2023-03-22 13:41:00
189,Christine,Sanchez,christine.sanchez329@gmail.com,0717940667,39,Mombasa,employed,111821,email_campaign,2023-02-15 20:36:00
190,Brian,Collins,brian.collins957@yahoo.com,0763283709,32,Mombasa,student,14364,social_media,2023-04-06 23:55:00
191,Mary,Hill,mary.hill618@gmail.com,0754968591,57,New York,employed,32589,paid_search,2023-11-25 17:33:00
192,Kathleen,Wright,kathleen.wright829@gmail.com,0731809610,33,Accra,employed,111549,social_media,2023-11-28 08:45:00
193,Donna,Ramirez,donna.ramirez776@gmail.com,0792000924,64,Nakuru,employed,67538,email_campaign,2023-07-27 13:32:00
194,Betty,Moore,betty.moore332@yahoo.com,0710916723,51,Abuja,employed,58204,organic_search,2023-05-01 14:48:00
195,Dennis,James,dennis.james268@yahoo.com,0741715995,21,New York,employed,104925,organic_search,2023-03-02 14:19:00
196,Douglas,Flores,douglas.flores121@yahoo.com,0749599276,65,Phoenix,employed,74634,paid_search,2023-04-24 07:08:00
197,Deborah,Collins,deborah.collins563@yahoo.com,0782144402,65,Kisumu,unemployed,14305,social_media,2023-04-22 07:43:00
198,Anna,Rogers,anna.rogers721@gmail.com,0785721444,54,Thika,self_employed,34641,organic_search,2023-10-08 16:12:00
199,Carol,Cox,carol.cox120@yahoo.com,0788268756,49,New York,employed,32294,paid_search,2023-09-19 14:51:00
200,Sharon,Reed,sharon.reed60@yahoo.com,0751361818,57,Houston,employed,43560,social_media,2023-07-22 08:52:00
201,Barbara,Garcia,barbara.garcia353@yahoo.com,0782633735,48,Eldoret,employed,38590,direct,2023-02-05 15:02:00
202,Jose,Ross,jose.ross384@yahoo.com,0761335545,47,Chicago,self_employed,101742,paid_search,2023-07-13 12:05:00
203,Karen,Henderson,karen.henderson122@gmail.com,0782109613,43,Nairobi,student,12389,paid_search,2023-03-07 23:14:00
204,Jacob,Cook,jacob.cook737@yahoo.com,0781394920,64,Malindi,employed,51129,paid_search,2023-04-28 07:29:00
205,Zachary,Anderson,zachary.anderson829@yahoo.com,0792533595,23,Mombasa,employed,92849,social_media,2023-01-09 07:13:00
206,Cynthia,Kelly,cynthia.kelly721@yahoo.com,0742847661,64,Mombasa,employed,113878,social_media,2023-07-25 14:14:00
207,Karen,Cooper,karen.cooper240@yahoo.com,0787324220,39,Eldoret,employed,54552,paid_search,2023-11-03 21:52:00
208,Adam,Cox,adam.cox424@gmail.com,0718181595,35,Cape Town,employed,103965,referral,2023-10-30 23:58:00
209,Pamela,Bailey,pamela.bailey996@gmail.com,0796344420,24,Abuja,employed,34558,referral,2023-09-26 10:44:00
210,Stephen,White,stephen.white485@gmail.com,0740245233,55,Chicago,employed,22552,paid_search,2023-12-29 04:51:00
211,Justin,Collins,justin.collins543@gmail.com,0742595918,56,Cairo,student,13879,organic_search,2023-06-19 20:05:00
212,Susan,Ward,susan.ward53@gmail.com,0791197624,33,Chicago,unemployed,11867,referral,2023-02-07 06:51:00
213,Sandra,Bell,sandra.bell891@yahoo.com,0750693207,34,Nakuru,employed,112186,direct,2023-01-08 06:59:00
214,Maria,Bell,maria.bell713@yahoo.com,0737449289,36,London,unemployed,6236,paid_search,2023-05-03 17:20:00
215,Alexander,Henderson,alexander.henderson316@gmail.com,0778829070,43,Accra,retired,76537,email_campaign,2023-08-27 03:51:00
216,Edward,Mitchell,edward.mitchell424@gmail.com,0739698906,41,Cape Town,retired,90909,social_media,2023-01-09 08:35:00
217,Donna,Martin,donna.martin338@gmail.com,0786475853,33,Lagos,retired,59245,email_campaign,2023-09-13 17:41:00
218,Raymond,Ross,raymond.ross472@gmail.com,0757268285,52,Mombasa,student,8882,organic_search,2023-10-07 15:11:00
219,Anna,Jones,anna.jones968@yahoo.com,0716511491,25,Eldoret,self_employed,23908,social_media,2023-07-31 04:53:00
220,Mary,Ramirez,mary.ramirez467@gmail.com,0792924441,53,Chicago,employed,15866,referral,2023-11-12 15:42:00
221,Patrick,Evans,patrick.evans18@yahoo.com,0746875077,21,Cape Town,unemployed,11043,referral,2023-05-27 00:32:00
222,Brian,Wilson,brian.wilson537@gmail.com,0735760684,27,Cairo,unemployed,1294,referral,2023-05-10 11:17:00
223,Rebecca,Reed,rebecca.reed250@yahoo.com,0740314047,57,Kisumu,self_employed,19152,paid_search,2023-02-11 20:54:00
224,Rebecca,Carter,rebecca.carter566@gmail.com,0795462880,45,Accra,student,10566,organic_search,2023-03-29 02:31:00
